codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
39315,ACIDENTE,CANUTAMA,AM,****,15/01/2010,15,1,2010,PTHLE,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,TÁXI AÉREO,FORA DE AERODROMO,LÁBREA,CRUZEIRO,***,2
39809,INCIDENTE,SÃO PAULO,SP,****,15/01/2010,15,1,2010,PTVFM,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
39810,INCIDENTE,SALVADOR,BA,****,15/01/2010,15,1,2010,PTEZN,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,3175,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
39828,INCIDENTE,SANTOS,SP,****,15/01/2010,15,1,2010,PPEOD,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,LEVE,0
44575,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,17/01/2010,17,1,2010,PRWJK,AVIÃO,BOEING COMPANY,737-33A,B733,JATO,BIMOTOR,62822,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
40310,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,18/01/2010,18,1,2010,PTRVK,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
39320,ACIDENTE,FAROL,PR,****,19/01/2010,19,1,2010,PTFNI,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1905,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,SUBSTANCIAL,0
39851,INCIDENTE,PASSO FUNDO,RS,SBPF,19/01/2010,19,1,2010,PROAM,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
40311,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,19,1,2010,PRCHD,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
41577,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,19,1,2010,PRMOG,AVIÃO,BEECH AIRCRAFT,200,BE20,TURBOÉLICE,BIMOTOR,5670,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
39772,INCIDENTE,UBERLÂNDIA,MG,****,20/01/2010,20,1,2010,PRLJR,AVIÃO,PILATUS,PC-12/47,PC12,TURBOÉLICE,MONOMOTOR,4740,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
39847,INCIDENTE,SOROCABA,SP,****,20/01/2010,20,1,2010,PRLJS,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
