codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano
40296,INCIDENTE,CURITIBA,PR,****,26/02/2010,26,02,2010
40316,INCIDENTE GRAVE,TIMÓTEO,MG,****,26/02/2010,26,02,2010
40331,INCIDENTE,CAMPINAS,SP,****,28/02/2010,28,02,2010
40314,INCIDENTE,SÃO PAULO,SP,****,04/03/2010,04,03,2010
39916,INCIDENTE GRAVE,MANAUS,AM,SBEG,07/03/2010,07,03,2010
39910,INCIDENTE,GUARULHOS,SP,SBGR,08/03/2010,08,03,2010
39887,ACIDENTE,BELO HORIZONTE,MG,SBPR,09/03/2010,09,03,2010
39914,INCIDENTE,LONDRINA,PR,SBLO,09/03/2010,09,03,2010
40312,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,09/03/2010,09,03,2010
39913,INCIDENTE GRAVE,RIO BRANCO,AC,SBRB,10/03/2010,10,03,2010
40150,INCIDENTE GRAVE,SANTA MARIA,RS,SBSM,10/03/2010,10,03,2010
40273,INCIDENTE,RIO BRANCO,AC,SBRB,10/03/2010,10,03,2010
39993,INCIDENTE GRAVE,LONDRINA,PR,SBLO,11/03/2010,11,03,2010
41986,INCIDENTE,GUARULHOS,SP,SBGR,11/03/2010,11,03,2010
40260,INCIDENTE,BELO HORIZONTE,MG,****,12/03/2010,12,03,2010
41988,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,12/03/2010,12,03,2010
40027,INCIDENTE,BLUMENAU,SC,SSBL,15/03/2010,15,03,2010
40320,INCIDENTE,GUARULHOS,SP,SBGR,15/03/2010,15,03,2010
40322,INCIDENTE,BELÉM,PA,SBJC,15/03/2010,15,03,2010
40307,INCIDENTE,BELÉM,PA,SBJC,16/03/2010,16,03,2010
40168,INCIDENTE,MONTES CLAROS,MG,SBMK,17/03/2010,17,03,2010
40329,INCIDENTE,SÃO PAULO,SP,SBSP,18/03/2010,18,03,2010
41998,INCIDENTE,CONFINS,MG,SBCF,18/03/2010,18,03,2010
41999,INCIDENTE,GUARULHOS,SP,SBGR,18/03/2010,18,03,2010
40088,ACIDENTE,UIRAMUTÃ,RR,****,19/03/2010,19,03,2010
40148,ACIDENTE,CAMPO GRANDE,MS,****,19/03/2010,19,03,2010
40170,INCIDENTE,MANAUS,AM,SBEG,20/03/2010,20,03,2010
40210,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,20/03/2010,20,03,2010
40212,INCIDENTE,UBERLÂNDIA,MG,SBUL,20/03/2010,20,03,2010
40332,INCIDENTE,MACAÉ,RJ,****,20/03/2010,20,03,2010
40149,ACIDENTE,LUZIÂNIA,GO,SWUZ,21/03/2010,21,03,2010
40209,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,21/03/2010,21,03,2010
41939,INCIDENTE,CONFINS,MG,SBCF,22/03/2010,22,03,2010
40330,INCIDENTE,RIO DE JANEIRO,RJ,****,24/03/2010,24,03,2010
42781,INCIDENTE,GUARULHOS,SP,SBGR,25/03/2010,25,03,2010
40087,ACIDENTE,ANÁPOLIS,GO,SWNS,26/03/2010,26,03,2010
40089,ACIDENTE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,****,28/03/2010,28,03,2010
40827,INCIDENTE,PENÁPOLIS,SP,****,30/03/2010,30,03,2010
40287,INCIDENTE,ITAJAÍ,SC,****,31/03/2010,31,03,2010
40326,INCIDENTE,RECIFE,PE,****,31/03/2010,31,03,2010
40288,INCIDENTE,FORTALEZA,CE,SBFZ,01/04/2010,01,04,2010
40275,INCIDENTE,BRASÍLIA,DF,SBBR,02/04/2010,02,04,2010
40291,INCIDENTE,CONFINS,MG,SBCF,03/04/2010,03,04,2010
40251,INCIDENTE,FLORIANÓPOLIS,SC,****,04/04/2010,04,04,2010
40267,INCIDENTE GRAVE,VERA CRUZ,BA,SNVR,04/04/2010,04,04,2010
40190,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,06/04/2010,06,04,2010
40171,ACIDENTE,PORTO NACIONAL,TO,SBPN,07/04/2010,07,04,2010
40269,INCIDENTE GRAVE,ANÁPOLIS,GO,SWNS,07/04/2010,07,04,2010
40147,ACIDENTE,UNIÃO DA VITÓRIA,PR,SSUV,08/04/2010,08,04,2010
40250,ACIDENTE,LUZIÂNIA,GO,****,08/04/2010,08,04,2010
40292,INCIDENTE,CAMPINAS,SP,SBKP,08/04/2010,08,04,2010
40213,INCIDENTE GRAVE,GOIÂNIA,GO,SWNV,09/04/2010,09,04,2010
40295,INCIDENTE,RIO BRANCO,AC,SBRB,11/04/2010,11,04,2010
40214,ACIDENTE,REDENÇÃO,PA,****,12/04/2010,12,04,2010
40227,INCIDENTE,AREALVA,SP,****,12/04/2010,12,04,2010
40228,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,12/04/2010,12,04,2010
40258,INCIDENTE,MONTE ALEGRE,PA,****,12/04/2010,12,04,2010
40327,INCIDENTE,PORTO ALEGRE,RS,****,12/04/2010,12,04,2010
40826,INCIDENTE,MARÍLIA,SP,SBML,12/04/2010,12,04,2010
40248,INCIDENTE,PORTO ALEGRE,RS,SBPA,13/04/2010,13,04,2010
40262,INCIDENTE,SÃO PAULO,SP,SBSP,14/04/2010,14,04,2010
40261,INCIDENTE,MACAÉ,RJ,SBME,15/04/2010,15,04,2010
40270,INCIDENTE GRAVE,PIRASSUNUNGA,SP,SDPY,15/04/2010,15,04,2010
40323,INCIDENTE,SÃO PAULO,SP,****,15/04/2010,15,04,2010
40328,ACIDENTE,CORRENTINA,BA,****,15/04/2010,15,04,2010
40294,INCIDENTE,RIO DE JANEIRO,RJ,****,16/04/2010,16,04,2010
40352,INCIDENTE,CUIABÁ,MT,****,16/04/2010,16,04,2010
40412,ACIDENTE,MACAPÁ,AP,****,16/04/2010,16,04,2010
40247,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,17/04/2010,17,04,2010
40350,INCIDENTE GRAVE,UIRAMUTÃ,RR,****,17/04/2010,17,04,2010
40293,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,18/04/2010,18,04,2010
40413,INCIDENTE,MACAÉ,RJ,SBME,18/04/2010,18,04,2010
40264,ACIDENTE,CAMPO VERDE,MT,SWOZ,20/04/2010,20,04,2010
40321,INCIDENTE,LONDRINA,PR,****,20/04/2010,20,04,2010
40271,ACIDENTE,RECIFE,PE,SNEM,21/04/2010,21,04,2010
40447,ACIDENTE,MANGARATIBA,RJ,****,21/04/2010,21,04,2010
40489,INCIDENTE,CAMPINAS,SP,****,21/04/2010,21,04,2010
40508,INCIDENTE,BELO HORIZONTE,MG,****,21/04/2010,21,04,2010
40576,INCIDENTE,MACAÉ,RJ,SBME,21/04/2010,21,04,2010
40577,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,21/04/2010,21,04,2010
40581,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,21/04/2010,21,04,2010
40554,ACIDENTE,RESENDE,RJ,****,27/04/2010,27,04,2010
40572,ACIDENTE,PORTO ALEGRE,RS,SBPA,28/04/2010,28,04,2010
40819,INCIDENTE,NIQUELÂNDIA,GO,****,28/04/2010,28,04,2010
41610,INCIDENTE,NAVEGANTES,SC,****,29/04/2010,29,04,2010
40583,INCIDENTE,SALVADOR,BA,SBSV,30/04/2010,30,04,2010
