codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
4999;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5001;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5005;Carrapateiro/caracaraí;(Milvago chimachima);M
5007;Urubus;Família Cathartidae;MG
5009;Urubus;Família Cathartidae;MG
5011;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5013;Andorinhas;família Hirundinidae;MP
5017;Carcará/carancho;(Caracara plancus);G
5017;Urubus;Família Cathartidae;MG
5019;Quero-quero/tetéu;(Vanellus chilensis);M
5021;Não identificado;Não identificado;
5023;Garça-branca-pequena;(Egretta thula);M
5025;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5027;Pombo-doméstico;(Columba livia);P
5033;Não identificado;Não identificado;P
5035;Garças;Família Ardeidae;
5037;Não identificado;Não identificado;MP
5039;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
5041;Urubus;Família Cathartidae;MG
5045;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5049;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5051;Não identificado;Não identificado;
5053;Quero-quero/tetéu;(Vanellus chilensis);M
5055;Anu-branco;(Guira guira);P
5057;Quero-quero/tetéu;(Vanellus chilensis);M
5059;Quero-quero/tetéu;(Vanellus chilensis);M
5061;Carcará/carancho;(Caracara plancus);G
5065;Não identificado;Não identificado;M
5067;Carcará/carancho;(Caracara plancus);G
5069;Urubus;Família Cathartidae;MG
5071;Carcará/carancho;(Caracara plancus);G
5073;Anu-branco;(Guira guira);P
5075;Maria-faceira;(Syrigma sibilatrix);M
5077;Carcará/carancho;(Caracara plancus);G
5081;Não identificado;Não identificado;M
5083;Urubus;Família Cathartidae;MG
5085;Seriema;(Cariama cristata);G
5091;Maria-faceira;(Syrigma sibilatrix);M
5093;Carcará/carancho;(Caracara plancus);G
5095;Carcará/carancho;(Caracara plancus);G
5097;Urubus;Família Cathartidae;MG
5099;Urubus;Família Cathartidae;MG
5101;Coruja -buraqueira;(Athene cunicularia);P
5107;Carcará/carancho;(Caracara plancus);G
5109;Quero-quero/tetéu;(Vanellus chilensis);M
5121;Não identificado;Não identificado;
5123;Urubus;Família Cathartidae;MG
5125;Quero-quero/tetéu;(Vanellus chilensis);M
5127;Urubus;Família Cathartidae;MG
5129;Urubus;Família Cathartidae;MG
5131;Coruja -buraqueira;(Athene cunicularia);P
5133;Urubus;Família Cathartidae;MG
5135;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
5137;Urubus;Família Cathartidae;MG
5139;Quero-quero/tetéu;(Vanellus chilensis);M
5141;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
5145;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5149;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
5151;Não identificado;Não identificado;P
5153;Não identificado;Não identificado;P
5155;Não identificado;Não identificado;P
5157;Carcará/carancho;(Caracara plancus);G
5159;Não identificado;Não identificado;P
5161;Não identificado;Não identificado;P
5163;Não identificado;Não identificado;P
5165;Não identificado;Não identificado;M
5167;Urubus;Família Cathartidae;G
5169;Gaviões / Família accipitridae;Família accipitridae;
5173;Urubus;Família Cathartidae;MG
