codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
3809;Pombo-doméstico;(Columba livia);P
3813;Não identificado;Não identificado;
3815;Gavião-do-banhado/mangue;(Circus buffoni );M
3817;Batuiruçu;(Pluvialis dominica);P
3819;Carcará/carancho;(Caracara plancus);G
3823;Andorinha-de-bando/chaminé/de-pescoço-vermelho;Hirundo rustica;MP
3825;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
3827;Quero-quero/tetéu;(Vanellus chilensis);M
3829;Não identificado;Não identificado;M
3835;Não identificado;Não identificado;P
3837;Quero-quero/tetéu;(Vanellus chilensis);M
3841;Carcará/carancho;(Caracara plancus);G
3843;Quero-quero/tetéu;(Vanellus chilensis);M
3845;Carcará/carancho;(Caracara plancus);G
3847;Quero-quero/tetéu;(Vanellus chilensis);M
3849;Quero-quero/tetéu;(Vanellus chilensis);M
3851;Quero-quero/tetéu;(Vanellus chilensis);M
3853;Urubus;Família Cathartidae;MG
3855;Carcará/carancho;(Caracara plancus);G
3857;Andorinhão-do-temporal;(Chaetura meridionalis);MP
3859;Carcará/carancho;(Caracara plancus);G
3861;Carcará/carancho;(Caracara plancus);G
